rank,name,team,position
1,Jahmyr Gibbs,Det,RB
2,Bijan Robinson,Atl,RB
3,Puka Nacua,Lar,WR
4,Ja'Marr Chase,Cin,WR
5,Jaxon Smith-Njigba,Sea,WR
6,Amon-Ra St. Brown,Det,WR
7,Christian McCaffrey,Sf,RB
8,Jonathan Taylor,Ind,RB
9,De'Von Achane,Mia,RB
10,CeeDee Lamb,Dal,WR
11,Justin Jefferson,Min,WR
12,James Cook III,Buf,RB
13,Drake London,Atl,WR
14,Chase Brown,Cin,RB
15,Rashee Rice,Kc,WR
16,Derrick Henry,Bal,RB
17,A.J. Brown,Ne,WR
18,Saquon Barkley,Phi,RB
19,Chris Olave,No,WR
20,George Pickens,Dal,WR
21,Nico Collins,Hou,WR
22,Kenneth Walker III,Kc,RB
23,Ashton Jeanty,Lv,RB
24,Josh Allen,Buf,QB
25,Omarion Hampton,Lac,RB
26,Zay Flowers,Bal,WR
27,Malik Nabers,Nyg,WR
28,Garrett Wilson,Nyj,WR
29,Jeremiyah Love,Ari,RB
30,Trey McBride,Ari,TE
31,DeVonta Smith,Phi,WR
32,Tetairoa McMillan,Car,WR
33,Kyren Williams,Lar,RB
34,Breece Hall,Nyj,RB
35,Brock Bowers,Lv,TE
36,Emeka Egbuka,Tb,WR
37,Tee Higgins,Cin,WR
38,Javonte Williams,Dal,RB
39,Travis Etienne Jr.,No,RB
40,Ladd McConkey,Lac,WR
41,Drake Maye,Ne,QB
42,Cam Skattebo,Nyg,RB
43,Davante Adams,Lar,WR
44,Joe Burrow,Cin,QB
45,Jaylen Waddle,Den,WR
46,D'Andre Swift,Chi,RB
47,MarShawn Lloyd,Gb,RB
48,Lamar Jackson,Bal,QB
49,Jameson Williams,Det,WR
50,Bucky Irving,Tb,RB
51,DJ Moore,Buf,WR
52,Terry McLaurin,Was,WR
53,Quinshon Judkins,Cle,RB
54,Dak Prescott,Dal,QB
55,Bhayshul Tuten,Jax,RB
56,Rome Odunze,Chi,WR
57,Mike Evans,Sf,WR
58,Luther Burden III,Chi,WR
59,Colston Loveland,Chi,TE
60,David Montgomery,Hou,RB
