rank,name,team,position
1,Jahmyr Gibbs,Det,RB
2,Bijan Robinson,Atl,RB
3,Christian McCaffrey,Sf,RB
4,Jonathan Taylor,Ind,RB
5,Puka Nacua,Lar,WR
6,De'Von Achane,Mia,RB
7,Ja'Marr Chase,Cin,WR
8,James Cook III,Buf,RB
9,Jaxon Smith-Njigba,Sea,WR
10,Chase Brown,Cin,RB
11,Amon-Ra St. Brown,Det,WR
12,Derrick Henry,Bal,RB
13,CeeDee Lamb,Dal,WR
14,Justin Jefferson,Min,WR
15,Saquon Barkley,Phi,RB
16,Drake London,Atl,WR
17,Kenneth Walker III,Kc,RB
18,Rashee Rice,Kc,WR
19,Ashton Jeanty,Lv,RB
20,A.J. Brown,Ne,WR
21,Omarion Hampton,Lac,RB
22,Chris Olave,No,WR
23,George Pickens,Dal,WR
24,Nico Collins,Hou,WR
25,Jeremiyah Love,Ari,RB
26,Josh Allen,Buf,QB
27,Zay Flowers,Bal,WR
28,Malik Nabers,Nyg,WR
29,Garrett Wilson,Nyj,WR
30,Kyren Williams,Lar,RB
31,Breece Hall,Nyj,RB
32,Trey McBride,Ari,TE
33,DeVonta Smith,Phi,WR
34,Tetairoa McMillan,Car,WR
35,Javonte Williams,Dal,RB
36,Travis Etienne Jr.,No,RB
37,Brock Bowers,Lv,TE
38,Emeka Egbuka,Tb,WR
39,Tee Higgins,Cin,WR
40,Cam Skattebo,Nyg,RB
41,Ladd McConkey,Lac,WR
42,D'Andre Swift,Chi,RB
43,Drake Maye,Ne,QB
44,Davante Adams,Lar,WR
45,Bucky Irving,Tb,RB
46,MarShawn Lloyd,Gb,RB
47,Jaylen Waddle,Den,WR
48,Jameson Williams,Det,WR
49,Joe Burrow,Cin,QB
50,Quinshon Judkins,Cle,RB
51,Lamar Jackson,Bal,QB
52,DJ Moore,Buf,WR
53,Terry McLaurin,Was,WR
54,Bhayshul Tuten,Jax,RB
55,Dak Prescott,Dal,QB
56,Rome Odunze,Chi,WR
57,David Montgomery,Hou,RB
58,Mike Evans,Sf,WR
59,Luther Burden III,Chi,WR
60,Colston Loveland,Chi,TE
